section,metric,baseline,optimized_v1,optimized_v2,optimized_v25,optimized_v3
comparison,optimized_v2 - baseline,success_rate,baseline,optimized_v2,0.06975772765246446,8.89528070736124
comparison,optimized_v2 - baseline,avg_execution_time,baseline,optimized_v2,-10.446444530534864,-43.17279488531383
comparison,optimized_v2 - baseline,avg_tool_calls,baseline,optimized_v2,0.22034252297410184,7.006707843527924
comparison,optimized_v2 - baseline,avg_invalid_action_rate,baseline,optimized_v2,-0.04910714285714284,-100.0
comparison,optimized_v2 - baseline,avg_failed_action_rate,baseline,optimized_v2,0.013971933802760794,10.406088174532744
comparison,optimized_v2 - baseline,avg_cache_hit_rate,baseline,optimized_v2,0.0,
comparison,optimized_v2 - baseline,avg_total_steps,baseline,optimized_v2,-0.08943191311612386,-2.486037087353845
comparison,optimized_v2 - baseline,avg_reward,baseline,optimized_v2,0.773099415204654,15.26118326118289
comparison,optimized_v25 - baseline,success_rate,baseline,optimized_v25,0.08051095909535111,10.266498139675646
comparison,optimized_v25 - baseline,avg_execution_time,baseline,optimized_v25,-14.569292777586162,-60.211595138638664
comparison,optimized_v25 - baseline,avg_tool_calls,baseline,optimized_v25,0.2451835822979196,7.796632742527986
comparison,optimized_v25 - baseline,avg_invalid_action_rate,baseline,optimized_v25,-0.04910714285714284,-100.0
comparison,optimized_v25 - baseline,avg_failed_action_rate,baseline,optimized_v25,0.06610569859662416,49.23453962397317
comparison,optimized_v25 - baseline,avg_cache_hit_rate,baseline,optimized_v25,0.0,
comparison,optimized_v25 - baseline,avg_total_steps,baseline,optimized_v25,-0.07747452184838766,-2.153644352771566
comparison,optimized_v25 - baseline,avg_reward,baseline,optimized_v25,0.6598073432919298,13.024768335113512
comparison,optimized_v25 - optimized_v2,success_rate,optimized_v2,optimized_v25,0.010753231442886646,1.2592073994458342
comparison,optimized_v25 - optimized_v2,avg_execution_time,optimized_v2,optimized_v25,-4.122848247051298,-29.983526761412744
comparison,optimized_v25 - optimized_v2,avg_tool_calls,optimized_v2,optimized_v25,0.02484105932381775,0.7382012912266595
comparison,optimized_v25 - optimized_v2,avg_invalid_action_rate,optimized_v2,optimized_v25,0.0,
comparison,optimized_v25 - optimized_v2,avg_failed_action_rate,optimized_v2,optimized_v25,0.05213376479386336,35.16875934238284
comparison,optimized_v25 - optimized_v2,avg_cache_hit_rate,optimized_v2,optimized_v25,0.0,
comparison,optimized_v25 - optimized_v2,avg_total_steps,optimized_v2,optimized_v25,0.011957391267736206,0.34086680989474255
comparison,optimized_v25 - optimized_v2,avg_reward,optimized_v2,optimized_v25,-0.11329207191272417,-1.9403018976489592
comparison,optimized_v3 - baseline,success_rate,baseline,optimized_v3,0.07866572786481252,10.031200197526429
comparison,optimized_v3 - baseline,avg_execution_time,baseline,optimized_v3,-22.32576627068653,-92.26734752139222
comparison,optimized_v3 - baseline,avg_tool_calls,baseline,optimized_v3,0.23318957929941897,7.41523348399826
comparison,optimized_v3 - baseline,avg_invalid_action_rate,baseline,optimized_v3,-0.04910714285714284,-100.0
comparison,optimized_v3 - baseline,avg_failed_action_rate,baseline,optimized_v3,0.012149709558176375,9.048922700475751
comparison,optimized_v3 - baseline,avg_cache_hit_rate,baseline,optimized_v3,0.0,
comparison,optimized_v3 - baseline,avg_total_steps,baseline,optimized_v3,-0.08566273543390279,-2.381261116670304
comparison,optimized_v3 - baseline,avg_reward,baseline,optimized_v3,0.8310332687906827,16.404812578725284
comparison,optimized_v3 - optimized_v25,success_rate,optimized_v25,optimized_v3,-0.001845231230538591,-0.21339023739664073
comparison,optimized_v3 - optimized_v25,avg_execution_time,optimized_v25,optimized_v3,-7.756473493100368,-80.56556299366255
comparison,optimized_v3 - optimized_v25,avg_tool_calls,optimized_v25,optimized_v3,-0.011994002998500619,-0.3538137034768962
comparison,optimized_v3 - optimized_v25,avg_invalid_action_rate,optimized_v25,optimized_v3,0.0,
comparison,optimized_v3 - optimized_v25,avg_failed_action_rate,optimized_v25,optimized_v3,-0.05395598903844778,-26.927825840286886
comparison,optimized_v3 - optimized_v25,avg_cache_hit_rate,optimized_v25,optimized_v3,0.0,
comparison,optimized_v3 - optimized_v25,avg_total_steps,optimized_v25,optimized_v3,-0.008188213585515136,-0.23262671603159055
comparison,optimized_v3 - optimized_v25,avg_reward,optimized_v25,optimized_v3,0.17122592549875293,2.990534104516
